Country,2018,2019,2020,2021,2022,2023,2024,2025,Latitude,Longitude
Kazakhstan,3.68,5.02,6.38,7.57,10.72,14.23,16.75,19.68,51.1694,71.4491
Kenya,2.64,3.84,5.19,5.93,7.96,9.26,10.99,13.08,-1.2921,36.8219
Kuwait,2.96,3.92,4.3,5.52,8.3,9.06,9.81,10.72,29.3759,47.9774
Kyrgyzstan,0.41,0.55,0.72,0.94,1.5,2.06,2.62,3.25,42.8746,74.5698
Laos,0.65,0.9,1.14,1.44,1.78,2.17,2.63,3.17,17.9757,102.6331
Latvia,1.51,2.05,2.65,3.08,4.1,5.05,5.54,6.21,56.9496,24.1052
Lebanon,1.31,1.58,1.44,1.53,2.22,2.55,3.13,3.52,33.8886,35.4955
Lesotho,0.19,0.24,0.29,0.34,0.46,0.56,0.66,0.77,-29.61,25.9655
Lithuania,1.82,2.47,3.27,3.92,5.23,6.5,7.38,8.46,54.6872,25.2797
Luxembourg,2.31,2.98,3.85,4.4,5.42,6.65,7.57,8.64,49.6116,6.1319
Madagascar,0.68,0.95,1.22,1.44,2.03,2.51,2.98,3.53,-18.8792,47.5079
Malawi,0.45,0.64,0.88,1.03,1.39,1.74,1.96,2.4,-13.9626,33.7741
Malaysia,19.07,24.63,30.15,34.31,46.08,54.65,62.18,71.53,3.139,101.6869
Malta,1.22,1.62,2.04,2.3,3.15,3.87,4.39,5.01,35.8989,14.5146
Mauritius,0.39,0.53,0.64,0.68,1.03,1.32,1.58,1.87,-20.1609,57.5012
Mexico,51.97,61.6,69.61,73.69,92.92,104.5,112.16,127.12,19.4326,-99.1332
Moldova,0.58,1.02,1.12,1.51,2.02,2.53,2.99,3.67,47.1673,28.8638
Mongolia,0.59,0.81,1.19,1.68,2.31,2.86,3.28,4,47.9164,106.8768
Montenegro,0.68,0.87,1.15,1.37,1.98,2.41,2.69,3.06,42.4304,19.2594
Morocco,2.96,4.18,5.27,6.29,7.81,9.94,11.65,13.78,33.9716,-6.8498
Mozambique,0.68,0.95,1.21,1.45,2.08,2.63,3.09,3.67,-23.8241,35.3054
Myanmar,2.3,3.47,4.17,4.58,6.27,7.56,8.51,9.96,16.8661,96.1951
Namibia,0.38,0.48,0.61,0.74,0.97,1.19,1.44,1.72,-22.5597,17.0832
Nepal,1.14,1.6,2.15,2.59,3.7,4.38,5.22,6.2,27.7172,85.324
Netherlands,27.71,34.46,41.43,47.06,63.61,75.9,86.36,98.13,52.3676,4.9041
New Zealand,8.35,9.75,10.83,11.26,13.95,15.45,16.69,18.48,-41.2865,174.7762
Nicaragua,0.5,0.65,0.83,1.03,1.4,1.88,2.31,2.78,12.115,-86.2362
Niger,0.53,0.73,0.98,1.16,1.61,2.03,2.5,2.98,13.5146,2.1126
Nigeria,11.15,16.74,23.85,31.27,47.25,60.94,72.9,84.57,9.0765,7.3986
North Macedonia,0.81,1.21,1.53,1.88,2.57,3.13,3.49,3.96,41.9973,21.428
Norway,14.12,17.44,20.76,23.33,31.31,37.33,42.88,49.19,59.9139,10.7522
Oman,2.19,2.85,3.39,3.77,5.61,6.49,7.33,8.06,23.61,58.54
Pakistan,9.29,11.91,15.19,18.18,24.92,28.5,33.88,39.74,33.6844,73.0479
Panama,1.4,1.87,2.2,2.73,3.79,4.77,5.53,6.49,8.9824,-79.5199
Papua New Guinea,0.64,0.91,1.2,1.35,2,2.33,2.71,3.17,-9.4438,147.1803
Paraguay,1.19,1.51,1.89,2.22,2.88,3.46,3.73,4.32,-25.2637,-57.5759
Philippines,23.38,30.62,38.03,44.04,60.43,73.59,86.69,103.36,14.5995,120.9842
Poland,25.54,33.26,42.08,50.52,72.39,91.58,109.93,131.16,52.2297,21.0122
Portugal,4.58,6.09,7.85,9.11,11.76,15.33,17.77,20.65,38.7223,-9.1393
Puerto Rico,2.17,2.94,3.74,4.03,5.39,6.63,7.48,8.48,18.3855,-66.1057
Republic of the Congo,0.33,0.44,0.52,0.65,0.89,1.05,1.29,1.53,-4.2634,15.2429
Romania,4.58,6.39,8.65,10.13,13.23,17.94,21.35,25.12,44.4268,26.1025
Russia,28.77,39.47,47.03,58.69,90.15,97.5,112.26,122.26,55.7558,37.6173
Rwanda,0.39,0.54,0.72,0.83,1.19,1.53,1.75,2.06,-1.9505,29.8739
Saudi Arabia,12.98,17.94,23.94,30.08,44.71,58.19,71.41,86.37,24.7136,46.6753
Senegal,0.72,1.01,1.4,1.66,2.22,2.81,3.35,4.01,14.7167,-17.4674
Serbia,1.53,2.08,2.76,3.35,4.56,6.15,7.16,8.23,44.8176,20.4633
Seychelles,0.14,0.23,0.33,0.44,0.54,0.76,0.78,0.94,-4.625,55.45
Sierra Leone,0.24,0.33,0.44,0.52,0.7,0.83,1.02,1.22,8.4606,-13.2317
Singapore,16.61,20.43,23.88,26.07,33.75,38.82,43.04,48.84,1.3521,103.8198
Slovakia,2.59,3.5,4.68,5.27,6.48,8.58,9.76,11.21,48.1486,17.1077
Slovenia,1.71,2.34,3.06,3.6,4.56,5.78,6.5,7.4,46.0569,14.5058
South Africa,4.83,6.57,8.54,10.37,14.91,18.9,22.84,27.64,-25.7461,28.2293
South Korea,99.87,117.34,131.21,137.37,171.35,190.92,206.86,230,37.5665,126.978
Spain,64.36,76.51,86.94,92.86,118.54,135.4,150.96,170.87,40.4168,-3.7038
Sri Lanka,2.01,2.59,3.32,3.76,4.39,5.61,6.92,8.26,6.9271,80.7789
Sudan,1.34,1.8,2.47,2.8,3.75,4.73,5.03,6.03,15.5007,32.5599
Suriname,0.4,0.63,0.82,0.95,1.28,1.54,1.91,2.26,5.852,-55.2038
Sweden,22.93,28.02,33.16,37.29,50.37,60.73,70.68,82.14,59.3293,18.0686
Switzerland,12.14,16.25,22.12,24.97,31.82,40.46,46.43,52.81,46.9479,7.4474
Taiwan,31.32,37.97,43.75,47.08,60.13,68.24,75.13,83.59,25.033,121.5654
Tajikistan,0.4,0.54,0.66,0.97,1.43,1.83,2.29,2.98,38.5598,68.7738
Tanzania,1.74,2.45,3.37,3.9,5.42,6.81,7.82,9.32,-6.8,39.2833
Thailand,31.06,41.44,52.56,62.1,86.59,106.35,125.31,147.29,13.7563,100.5018
Timor-Leste,0.26,0.35,0.49,0.57,0.64,0.72,0.85,0.95,-8.548,125.5757
Togo,0.27,0.37,0.5,0.6,0.82,1.04,1.26,1.51,6.1256,1.2317
Tunisia,1.04,1.37,1.79,2.09,2.6,3.31,3.91,4.61,36.8065,10.1686
Turkey,29.21,35.9,42.44,47.43,63.6,76.37,88.74,105.28,39.9334,32.8597
